,emotion_label,emotion_text
0,fear,"Every time I imagine that someone I love or I could contact a  serious illness, even death."
1,fear,"Every time Iodine imagine that someone I love or Iodine could adjoin a serious sickness , even death ."
2,fear,"Every time One guess that somebody Ace love operating room I could contact a serious illness , even death ."
3,fear,"Every time I imagine that I someone or love could I a contact illness serious , even death ."
4,anger,When I had been obviously unjustly treated and had no possibility  of elucidating this.
5,anger,When One had been obviously unjustly treat and sustain no possibility of elucidating this .
6,anger,When I had been obviously unjustly address and give birth no possibility of clear this .
7,anger,When I had obviously been unjustly and treated had no possibility of . elucidating this
8,sadness,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.
9,sadness,When I call up about the short time that we be and relate information technology to the time period of my animation when I think that I did non use this short time .
10,sadness,When One think about the brusk time that we live and relate it to the periods of my life when I believe that I did not use this myopic time .
11,sadness,I when think about the time short that we live relate and it to the my periods of life when think I that did I use not this time short .
12,disgust,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.
13,disgust,At a gathering Iodine found myself involuntarily sitting next to two people world health organization evince opinions that I considered really low down and discriminating .
14,disgust,At a gathering I found myself involuntarily posture next to two people world health organization give tongue to opinions that I considered very down in the mouth and discriminating .
15,disgust,At gathering a I found myself sitting involuntarily to two next people who expressed opinions that I very considered and low discriminating .
16,shame,When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings.
17,shame,When Single realized that I was directing the feelings of discontentedness with myself at my partner and this way was trying to put the blame on him instead of screen out prohibited my ain feeliings .
18,shame,When I realized that One be guide the feelings of discontent with myself at my spouse and this fashion was trying to put the blame on him or else of sorting out my own feeliings .
19,shame,When I realized I that was directing of the feelings discontent myself with at partner my and this way was to trying put the blame on him instead sorting of out my own . feeliings
20,guilt,I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered.
21,guilt,Iodin feel guilty when when I realise that I consider material things to a greater extent important than care for my congenator . Unity feel very self - center .
22,guilt,Atomic number 53 sense guilty when when I realize that I consider material things to a greater extent important than caring for my relatives . Single feel very self - center .
23,guilt,I feel guilty when when I I realize that material consider things important more than caring for my relatives . I feel very self - centered .
24,joy,After my girlfriend had taken her exam we went to her parent's  place.
25,joy,After my girlfriend had take her examination we went to her parent ' s position .
26,joy,After my lady friend make taken her exam we choke to her parent ' s place .
27,joy,My after girlfriend had taken exam her we to went her parent ' s . place
28,fear,"When, for the first time I realized the meaning of death."
29,fear,"When , for the foremost time I realize the meaning of death ."
30,fear,"When , for the first fourth dimension I realized the meaning of death ."
31,fear,"When , for the first time I realized the of meaning death ."
32,anger,When a car is overtaking another and I am forced to drive off the  road.
33,anger,When a car be overpower another and 1 embody forced to drive off the road .
34,anger,When a car be overtaking another and I make up forced to repel off the road .
35,anger,When a car is overtaking another and I am forced off to drive the road .
36,sadness,"When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand."
37,sadness,"When I late thought astir the unvoiced work it takes to study , and how one want to try something else . When I read a theoretical book in English that Iodin do not understand ."
38,sadness,"When Iodine lately thought about the hard work it takes to study , and how 1 need to try something else . When One read a theoretical book in English people that I make not empathize ."
39,sadness,"When I recently thought about the hard it work to takes study , and how wants one to try else something When . I read a book theoretical in that English I did not . understand"
40,disgust,When I found a bristle in the liver paste tube.
41,disgust,When 1 found a bristle in the liver paste tube .
42,disgust,When I found a bristle in the liver library paste metro .
43,disgust,I when found a bristle in the liver paste tube .
44,shame,"When I was tired and unmotivated, I shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important."
45,shame,"When I was weary and unmotivated , I squall at my girlfriend and and brought up minus side of her character which are in reality not so important ."
46,shame,"When 1 be tired and unmotivated , One shouted at my lady friend and and fetch up negative sides of her role which are actually not and then important ."
47,shame,"When was I tired and unmotivated , I shouted my at girlfriend and up and brought negative sides of her which character are actually so important . not"
48,guilt,When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time.
49,guilt,When I consider that I do non study enough . After the weekend I think that Unity should have been able to have fulfill something during that time .
50,guilt,When Unity think that One coif non study enough . After the weekend I think that I should have be able to consume achieve something during that clip .
51,guilt,When think I that do I not . study enough After the weekend I think I should that have been able to have accomplished during something time that .
52,joy,When I pass an examination which I did not think I did well.
53,joy,When I pass an examination which I did not think 1 did substantially .
54,joy,When I go on an examination which I did not cerebrate I did comfortably .
55,joy,Pass when I examination an which I did not think I did . well
56,fear,"When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident."
57,fear,"When one has arranged to meet person and that someone arrives late , in the meantime one go suppose astir all that could have go wrong e . g a dealings accident ."
58,fear,"When unity has coiffe to meet someone and that somebody go far latterly , in the meantime one starts thinking about all that could have extend improper e . g a traffic accident ."
59,fear,"One when has to arranged meet someone and person arrives that late , in the meantime starts one thinking about all could that have gone wrong e g . a traffic accident ."
60,anger,When one is unjustly accused of something one has not done.
61,anger,When one is unjustly accused of something one has not do .
62,anger,When one is unjustly accuse of something one has not done .
63,anger,When one is unjustly accused of one something not has . done
64,sadness,When one's studies seem hopelessly difficult and uninteresting.
65,sadness,When i ' s studies look hopelessly difficult and uninteresting .
66,sadness,When unmatched ' s studies seem hopelessly difficult and uninteresting .
67,sadness,When one ' s studies difficult seem hopelessly and . uninteresting
68,disgust,"When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted."
69,disgust,"When ace finds out that someone you sleep together comprise not at all like ace have thought , for case friends who steal and thing like that , rather unwarranted ."
70,disgust,"When one find out that someone you know be non at all like one had thought , for instance friends world health organization slip and things like that , quite idle ."
71,disgust,"When one that finds out someone you is know not at all one like had , thought for instance who friends steal things like and , that quite unwarranted ."
72,shame,"When one has been unjust, stupid towards someone else. "
73,shame,"When one have be inequitable , stupid towards someone else ."
74,shame,"When single has make up unjust , stupid towards someone else ."
75,shame,"When one been has unjust , stupid someone towards . else"
76,guilt,When one has neglected or been unjust to a good friend.
77,guilt,When one has neglect or be unjust to a good friend .
78,guilt,When single has overlook or been unjust to a honest friend .
79,guilt,When one has neglected or been to unjust a friend . good
80,joy,Passing an exam I did not expect to pass.
81,joy,Passing an examination Iodin did not wait to pass .
82,joy,Passing an examination I did not have a bun in the oven to perish .
83,joy,Passing an I exam did not expect to pass .
84,fear,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.
85,fear,When I climbed improving a tree diagram to pick apples . The angle of the run I was on coiffure not enable me to get high plenty . This implied that the ladder was not rattling static .
86,fear,When I climb upward a tree to plunk apple . The angle of the ladder Iodin was on did not enable me to get high enough . This implied that the ravel was not very static .
87,fear,When up I climbed a tree pick to apples . The angle ladder of the I on was did not enable me to high get enough . This implied the that was ladder very not stable .
88,guilt,When excuses are necessary and I get out of doing it myself.
89,guilt,When excuses are necessary and I get out of doing it myself .
90,guilt,When excuses are necessary and I get out of doing it myself .
91,guilt,When excuses are necessary and I get out of doing myself it .
92,joy,When I had my children.
93,joy,When Atomic number 53 had my children .
94,joy,When Single had my children .
95,joy,I when had my children .
96,fear,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.
97,fear,When my 2 twelvemonth old son climbed up and sat on the 7th floor balcony with his leg hanging out . He personify holding on tightly to the upper railing of the balcony but helium could have easily misplace his balance when he sat down .
98,fear,When my 2 twelvemonth old son rise up and sat on the 7th floor balcony with his legs hanging away . He was holding on tightly to the upper rail of the balcony just helium could have easy turn a loss his balance when he sat down .
99,fear,When 2 my year old son climbed up and sat on the 7th floor with balcony legs his hanging out . He was holding tightly on to the upper railing the of balcony but he could easily have balance lost his he when sat . down
100,anger,When my partner was attacked and lost three teeth.
101,anger,When my married person was attacked and lost tierce dentition .
102,anger,When my partner was attacked and lost troika teeth .
103,anger,When my partner attacked was and lost three teeth .
104,sadness,When I see children on T.V from areas devastated by drought and  war.
105,sadness,When Ace see nipper on T . 5 from areas devastated by drought and war .
